Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
দুই তীরের বায়োস্কোপ,আকাশ মজুমদার,TK. 200,TK. 140,https://rokomari.com//book/204018/dui-tirer-baiscope,"""দুই তীরের বায়োস্কোপ"" বইয়ের ফ্ল্যাপে লিখা
ছােট বেলায় ‘ওপেনটি বায়ােস্কোপ’, ‘উবুদুর' কিংবা ‘এক্কাদোক্কা’ খেলাগুলাে কম বেশি আমরা সবাই খেলেছি। গ্রাম বাংলার এই খেলাগুলাে হারিয়ে গিয়েছে আজ। যেগুলাে ছিল আমাদের সংস্কৃতির একটি বিরাট অংশ জুড়ে। আর এই খেলাগুলাের মতােই হারিয়ে গিয়েছে ফেনী নদীর দুই তীরের মানুষদের সংস্কৃতি। এক সময়ের যৌবনা ফেনী নদীকে বর্তমানে বলা হয় মরা গাঙ। ১৯৭১ সালে পাকিস্তানি হানাদারদের তাণ্ডবে ধ্বংস হয়েছিল ফেনী নদীর দুই তীরের বেশ কিছু হিন্দু বাড়ি। আবার কেউবা দেশ ছেড়ে পালিয়েছে। তাদের সাথে হারিয়ে গিয়েছে এই দুই তীরের হিন্দু বাড়িগুলাের বেশ কিছু পূজা-পার্বণ যেগুলাে ছিল দুই তীরের মানুষদের সম্প্রীতির অন্যতম মাধ্যম। চৈত্রসংক্রান্তী’র চড়কপূজা, সন্ধিপূজা, ষষ্ঠীপূজা, মঙ্গলচণ্ডী ব্রত, মনসা পূজার পুঁথি পাঠ, মঙ্গলগায়িকাদের গানসমূহ ছিল ফেনী তীরের হিন্দুবাড়িগুলাের বিশেষ কিছু সংস্কৃতি চর্চা। এখন খুব কমই প্রচলিত এই পূজাসমূহ। তবে এই অঞ্চলে, ফেনী নদীর দুই তীরের তকালীন হিন্দু বাড়িগুলােতে প্রচলিত সংস্কৃতির একটি অংশ ছিল কীর্তনগানসমূহ। সন্ধ্যা ঘনিয়ে এলে বাড়ির উঠোনে সবাই গােল করে বসে মেতে উঠতাে শ্রী কৃষ্ণ বন্দনায়। উঠোনে ঢােল-মৃদঙ্গ বাজিয়ে সবাই কীর্তন গান শুনতাে। হ্যাঁ, ফেনী নদীর দুই তীরের তৎকালীন সময়ের হিন্দু বাড়িগুলাের সংস্কৃতি, গ্রামীণ মানুষদের লৌকিক বিশ্বাসসমূহ এবং তাদের চর্চিত বিভিন্ন আচরানুষ্ঠান অবলম্বনে রচিত উপন্যাস ‘দুই তীরের বায়ােস্কোপ'।",দুই তীরের বায়োস্কোপ,আকাশ মজুমদার, , ,অনন্য প্রকাশন,9789849492719,"1st Published,2021",48,বাংলাদেশ,বাংলা
বপ্তা মনাগ্নি,অনির্বাণ চক্রবর্তী,TK. 180,TK. 126,https://rokomari.com//book/204199/bopta-monagni,"""বপ্তা মনাগ্নি"" বইয়ের ফ্ল্যাপে লিখা
আমার কর্মস্থলে যে ছেলেটার সাথে সন্ধ্যার আঁধারে প্রথম পরিচয়, আর তার চায়ের প্রথম আথিতেয়তা পেয়েছিলাম, পরবর্তী সময়গুলােতে তার সাথেই গড়ে ওঠে শ্রেষ্ঠতম বন্ধুত্বের সেতু বন্ধন। শােনা হয় তার জীবনের সুখ-দুঃখ, হাসি-কান্না জড়ানাে কথাগুলাে। বেশ করুণ সে ইতিহাস। একদিন তাকে কথায় কথায় বলেই ফেলেছিলাম, তােমাকে নিয়ে একটা উপন্যাস হয়। অমনি ও আমার করকমল দু'হাতে ধরে বলেছিল, তুমি তাে কবি, লেখনা আমাকে নিয়ে একটা উপন্যাস। ছাড়তে পারিনি সেই বন্ধন হাত। তাকে দেওয়া প্রতিশ্রুতিই আমার এই দ্বিতীয় উপন্যাস ‘বপ্তা মনাগ্নি’। তবে ‘বপ্তা মনাগ্নি’ লিখতে গিয়ে বারবার পৌঁছে গিয়েছি নিজের জীবনে, এই কথাটাও কিন্তু একদম মিথ্যে নয়। বইটি যদি কোনাে পাঠকের বিন্দুমাত্র ভালাে লাগে, তবেই আমার লেখা সার্থক বলে বিবেচনা করবাে।
- অনির্বাণ চক্রবর্তী",বপ্তা মনাগ্নি,অনির্বাণ চক্রবর্তী, , ,অনন্য প্রকাশন,9789849474609,"1st Published,2020",48,বাংলাদেশ,বাংলা
বঙ্গবন্ধু স্বাধীনতার মহানায়ক,মো. শাহীনূর রহমান শাহীন,TK. 200,TK. 140,https://rokomari.com//book/204200/bongobondhu-sadhinotar-mohanayok,"",বঙ্গবন্ধু স্বাধীনতার মহানায়ক,মো. শাহীনূর রহমান শাহীন, , ,অনন্য প্রকাশন,9789849474692,"1st Published,2020",96,বাংলাদেশ,বাংলা
সোনালী নোলক,কে এম পারভেজ ওয়াহিদ,TK. 350,TK. 245,https://rokomari.com//book/204201/sonali-nolok,"",সোনালী নোলক, , ,কে এম পারভেজ ওয়াহিদ,অনন্য প্রকাশন,9789849449409,"1st Published,2020",176,বাংলাদেশ,বাংলা
নিরন্তর সংগ্রাম,শাহীমা ইসলাম,TK. 120,TK. 84,https://rokomari.com//book/204202/nirontor-songgram,"""নিরন্তর সংগ্রাম"" বইয়ের ফ্ল্যাপে লিখা
-এক সংগ্রামী নারী এর খিলগাঁও কোনাে এক মুসলিম পরিবারে জন্ম। দুই ভাই, দুই বােন আর মা-বাবা নিয়ে তাদের পরিবার। বিয়ের আগে ভাই বােনদের সাথে বেশ মজাতেই কাটালাে। ভাইদের বিয়ে হয়ে যাওয়ার পরেও কোনাে ভালাে পাত্র পাচ্ছিল না নিজের বিয়ের জন্য। অনেক কষ্টে বিয়ে হওয়ার পরও শান্তিতে থাকতে পারল না শ্বশুর বাড়ি। কিছু দিন ভাড়া থাকার পরও কোনাে সুখ না পাওয়ায় চলে এলাে গাজীপুর এ। গাজীপুর এ টিকে থাকার জন্য হাজারও লড়াই করতে গিয়ে হারালাে নিজের স্বামীকে। তিন মেয়ে হারালাে বাবাকে। এই এতিমদের পাশে দাঁড়ানাের জন্যও কেউ ছিল না। তখন ও মূল্যবােধহীন লােকদের শাসক কমেনি। এই সব পরিস্থিতি প্রতিকূলে আনতে দ্বিতীয় এক সম্পর্ক করে। এখন প্রায় হাজারও বিপদের মধ্যে আমরা অনেক ভালাে আছি।
- লেখিকা",নিরন্তর সংগ্রাম,শাহীমা ইসলাম, , ,অনন্য প্রকাশন,9789849474708,"1st Published,2020",48,বাংলাদেশ,বাংলা
স্বপ্ন আমার কবি হবো,কাজল রায় ,TK. 250,TK. 175,https://rokomari.com//book/204203/swapno-amar-kobi-hobo,"",স্বপ্ন আমার কবি হবো, , ,কাজল রায়,অনন্য প্রকাশন,9789849492733,"1st Published,2021",144,বাংলাদেশ,বাংলা
অশরীরী আত্মার মিছিল,অর্চ্চনা মালাকার,TK. 150,TK. 105,https://rokomari.com//book/204782/ashoriri-attar-michil,"",অশরীরী আত্মার মিছিল,অর্চ্চনা মালাকার, , ,অনন্য প্রকাশন,9789849449355,"1st Published,2020",64,বাংলাদেশ,বাংলা
একুশে কবিতা,আব্দুর রাজ্জাক,TK. 180,TK. 126,https://rokomari.com//book/205157/ekushe-kobita,"",একুশে কবিতা, , ,আব্দুর রাজ্জাক,অনন্য প্রকাশন,9789849503873,"1st Published,2021",96,বাংলাদেশ,বাংলা
বোবা কান্না,জান্নাতুল,TK. 250,TK. 213,https://rokomari.com//book/205279/boba-kanna,"",বোবা কান্না,জান্নাতুল, , ,অনন্য প্রকাশন,9789849492771,"1st Published,2021",112,বাংলাদেশ,বাংলা
জীবনের স্মৃতিময় কবিতা,দিয়া রায় নেহা,TK. 250,TK. 213,https://rokomari.com//book/205281/jiboner-smritimoy-kobita,"",জীবনের স্মৃতিময় কবিতা, , ,"পলক রায়,দিয়া রায় নেহা",অনন্য প্রকাশন,9789849503828,"1st Published,2021",128,বাংলাদেশ,বাংলা
